absences,failures,goout,age,Mjob,health,Medu,freetime,Fedu,Fjob,Walc,famrel,studytime,reason,guardian,Dalc,schoolsup,romantic,traveltime,activities,paid,sex,famsize,address,famsup,nursery,higher,internet
8,0,2,17,2,5,1,2,2,2,3,2,1,3,1,3,0,0,1,0,0,1,1,0,0,1,1,0
14,1,3,18,2,3,4,4,2,2,3,5,1,1,0,4,0,0,2,0,1,1,0,0,0,1,1,0
2,0,4,16,4,4,4,4,3,1,4,3,3,1,1,2,1,0,1,1,1,0,0,1,1,1,1,1
3,0,2,17,3,3,2,3,2,3,2,3,3,0,1,2,0,0,1,1,1,0,1,0,1,1,1,1
14,2,2,16,3,5,2,2,2,3,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1
0,0,3,17,0,3,1,3,1,3,1,5,2,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1
15,1,4,18,1,4,4,4,4,1,1,2,2,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1
0,1,1,17,0,4,2,3,2,0,2,3,2,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1
10,0,3,15,2,4,3,3,3,1,1,4,4,3,0,1,1,0,1,0,0,0,0,1,0,1,1,0
0,0,3,17,1,4,4,4,3,2,3,4,3,3,1,1,0,1,1,1,1,0,0,1,1,1,1,1
0,0,2,15,2,5,1,4,1,3,2,4,2,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1
0,0,1,15,4,1,4,4,3,2,1,4,2,3,1,1,0,0,1,0,0,1,0,1,0,1,1,1
0,3,2,15,1,3,3,3,2,3,1,3,2,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
2,0,3,15,2,2,4,4,4,4,1,4,2,3,0,1,0,0,2,1,0,1,0,1,1,1,1,0
0,0,3,17,0,2,0,3,2,0,3,3,3,1,0,2,0,0,2,0,0,0,1,1,0,1,1,1
4,0,4,17,2,4,3,3,3,2,4,4,2,3,0,1,0,0,1,1,0,1,0,1,0,0,1,1
7,0,3,17,0,5,2,4,4,2,1,4,3,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1
2,0,1,16,4,5,4,5,2,2,3,4,2,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1
0,0,3,17,2,3,4,3,2,2,1,4,3,3,1,1,0,0,2,0,1,0,0,1,1,1,1,1
6,0,2,17,4,4,4,4,3,2,1,4,3,3,1,1,0,1,2,1,1,0,0,0,1,1,1,1
2,0,5,16,1,2,4,3,3,2,5,4,2,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
0,0,1,17,2,4,4,2,4,4,1,4,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
14,0,5,17,4,2,4,5,4,4,3,4,2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1
6,2,4,15,3,5,4,4,4,3,3,4,2,3,0,2,0,1,2,0,1,0,0,1,0,1,1,1
2,0,4,16,1,1,4,2,4,2,4,4,2,3,0,2,0,0,1,1,1,1,0,1,1,1,1,1
7,1,3,18,0,3,1,3,3,3,3,4,1,0,1,2,0,1,1,0,0,1,1,1,0,1,0,1
0,3,5,18,2,4,1,3,1,2,5,2,1,0,1,2,0,1,1,0,0,1,1,1,0,1,0,1
0,0,1,17,2,5,4,1,4,4,2,4,1,1,0,2,0,0,2,0,1,1,1,1,0,1,1,1
4,2,3,20,1,3,4,4,2,2,1,5,3,0,2,1,0,1,2,0,1,0,0,1,1,0,1,1
7,0,3,16,2,5,4,4,4,4,1,2,3,3,1,1,0,1,2,1,0,1,0,0,1,1,1,1
0,0,5,15,3,5,3,5,4,3,2,5,1,1,0,3,1,0,1,0,0,1,0,1,0,1,1,1
2,0,2,18,4,3,4,3,3,2,1,4,2,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1
0,0,3,16,3,4,4,4,4,4,1,4,3,2,0,1,0,1,1,1,0,1,0,1,1,1,1,1
13,0,5,17,3,3,4,3,4,2,5,5,2,1,1,4,0,1,1,0,1,1,1,1,1,1,1,1
22,0,4,18,4,3,4,2,4,3,4,3,1,1,1,1,0,0,2,1,1,1,0,1,0,1,1,1
18,0,2,17,2,3,2,3,2,2,2,5,1,3,1,1,0,0,1,0,0,0,0,0,1,1,1,1
20,1,4,19,2,3,3,4,3,2,1,4,2,1,2,1,0,1,1,1,0,1,0,1,1,1,1,1
0,0,4,15,3,2,4,4,3,3,4,4,2,3,0,2,1,1,1,1,0,0,1,1,0,1,1,1
0,0,3,15,0,5,3,3,4,4,1,5,2,0,1,1,0,1,4,0,0,1,0,0,1,1,1,0
6,0,3,16,2,4,2,4,3,2,3,4,2,3,1,1,1,0,1,1,1,0,0,1,1,1,1,0
4,0,3,16,2,1,1,4,2,3,1,4,2,3,0,1,1,0,1,1,0,0,1,1,0,1,1,1
0,1,3,18,4,2,4,3,4,3,2,4,2,1,0,2,0,0,1,1,0,1,0,1,1,1,1,1
2,0,4,17,3,5,3,4,1,2,4,5,2,2,1,3,0,1,1,1,1,1,0,1,0,1,1,1
4,0,3,17,0,3,1,1,2,2,5,3,2,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0
12,0,4,17,0,5,1,4,2,3,5,4,2,2,2,4,0,0,2,1,1,1,0,1,0,0,1,1
14,1,3,16,2,5,2,3,2,0,2,4,2,0,0,2,1,0,2,1,0,0,1,1,0,1,1,1
4,0,2,16,2,5,3,3,3,2,2,4,2,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0
6,3,5,18,0,4,1,2,1,2,5,5,1,0,1,1,0,0,3,1,0,0,0,0,1,0,1,0
0,0,2,17,3,5,2,3,4,3,1,4,2,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1
2,0,1,16,3,3,2,3,3,4,1,2,2,2,1,1,1,0,1,0,0,0,0,1,0,1,1,1
2,0,3,15,1,4,2,1,2,3,3,4,2,3,1,1,1,0,2,0,1,0,1,0,1,1,1,1
7,0,3,18,2,1,3,4,2,3,3,5,3,2,1,2,0,1,1,0,0,0,0,1,0,1,1,1
2,0,3,17,0,2,1,3,3,3,4,5,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1
6,0,4,17,3,5,2,4,2,2,3,4,2,0,1,2,1,1,2,0,1,0,1,1,1,1,1,1
0,0,1,15,2,5,2,5,3,2,1,3,1,2,0,1,0,0,2,1,0,0,0,1,1,1,1,0
13,1,4,18,3,4,3,2,3,1,4,3,2,1,0,2,0,0,1,0,1,1,1,1,1,1,1,1
14,0,5,16,3,4,4,5,4,3,5,4,1,2,1,5,1,0,1,1,1,1,0,1,1,1,1,1
2,0,3,18,2,3,1,4,1,2,1,4,2,1,1,1,0,0,2,0,1,0,1,1,1,0,1,0
6,0,3,15,4,4,4,5,4,4,1,5,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1
0,0,3,16,2,4,3,3,3,2,3,4,3,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1
4,0,3,17,1,5,3,4,3,2,3,4,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1
0,0,2,15,1,5,4,4,4,1,1,5,1,2,0,1,0,0,1,0,1,1,0,1,1,1,1,1
22,2,5,17,2,1,4,4,3,2,4,3,2,3,1,2,0,1,1,0,1,0,0,1,0,1,1,1
2,0,4,18,4,5,4,4,4,2,3,4,2,0,1,3,0,0,1,0,1,0,0,1,1,1,1,1
8,0,3,17,2,3,2,4,2,0,1,3,3,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0
4,0,2,16,2,4,3,3,3,2,1,5,2,3,1,1,1,0,3,1,0,0,0,1,1,1,1,0
0,0,4,15,3,5,4,3,4,3,3,3,1,0,1,2,1,0,1,0,1,0,0,1,1,1,1,1
6,0,3,16,0,2,3,3,3,2,3,5,2,3,2,1,1,0,3,0,0,1,0,1,1,0,1,1
0,0,4,18,2,3,2,4,1,2,1,4,3,0,2,1,0,1,2,0,1,0,0,1,1,0,1,1
4,0,4,18,4,2,4,2,4,4,4,3,2,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
6,0,2,17,3,3,3,1,1,2,1,3,4,3,1,1,0,0,2,0,1,0,1,0,1,1,1,0
0,0,4,18,0,4,2,4,2,2,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0
6,1,2,16,0,5,2,1,2,2,1,3,2,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1
10,1,5,18,2,5,3,5,2,2,5,2,1,0,1,5,0,0,2,0,0,1,0,0,1,0,1,1
1,0,2,18,0,3,1,2,1,2,1,5,4,3,1,1,0,0,2,1,1,0,1,0,1,1,1,0
16,3,5,17,3,5,3,5,2,3,4,5,1,0,1,2,0,0,1,1,0,1,0,1,1,1,1,1
10,0,4,17,2,3,3,3,2,2,3,5,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
17,0,4,17,0,1,3,5,1,2,3,4,2,3,1,2,0,0,1,1,1,0,0,0,1,0,1,1
5,3,3,16,3,4,3,3,1,2,2,2,2,0,1,2,0,0,1,0,1,0,0,1,1,1,1,1
2,0,3,15,4,5,4,3,2,2,2,4,2,1,1,2,0,0,1,0,1,1,0,1,1,1,1,0
54,0,3,16,2,5,3,3,3,3,4,4,2,1,1,2,1,0,1,1,1,0,0,1,1,1,1,1
2,0,3,16,3,5,4,2,2,2,1,4,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
15,1,4,18,3,5,2,4,2,2,4,4,2,1,1,2,0,0,1,1,1,1,0,1,1,1,1,1
10,0,5,18,1,5,4,4,2,2,3,5,2,3,0,1,0,1,1,1,1,1,0,1,1,1,1,1
4,0,2,17,2,4,2,4,2,2,5,4,2,1,0,5,0,1,1,1,1,1,1,1,0,0,1,1
6,0,3,15,4,5,4,3,3,2,3,4,2,1,1,2,0,0,1,1,1,1,0,1,1,1,1,1
10,0,3,17,2,3,2,2,1,2,2,3,3,0,1,1,0,1,2,1,0,0,0,1,0,1,1,1
2,0,3,17,3,3,2,3,3,3,3,5,2,3,0,1,0,0,1,0,1,1,1,1,1,0,1,1
0,0,2,16,2,5,3,3,1,2,1,4,4,3,0,1,0,0,2,0,1,1,0,1,1,1,1,1
6,1,4,16,0,5,2,4,1,2,5,4,1,0,1,3,0,1,1,1,0,1,1,1,0,1,1,0
0,1,1,18,2,5,1,1,1,2,1,1,2,0,1,1,0,0,2,1,0,0,0,1,0,1,1,0
0,3,5,15,3,5,2,5,1,2,5,4,1,0,1,2,0,0,4,0,0,1,1,1,0,1,1,1
0,0,3,18,0,4,2,2,3,3,2,5,1,0,0,1,0,1,2,0,1,0,0,1,1,1,1,1
1,0,3,17,3,5,3,4,1,3,3,3,3,0,0,2,0,0,1,0,0,0,0,1,1,0,1,1
2,0,4,16,4,5,4,4,4,4,2,5,2,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1
4,0,3,15,3,5,4,3,4,2,1,5,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1
4,0,5,16,2,4,3,4,3,2,1,4,2,3,1,1,0,0,2,1,1,0,1,1,1,1,1,1
8,0,2,15,1,5,2,4,1,3,1,5,2,3,1,1,0,1,1,1,0,1,0,0,0,1,1,1
10,0,3,16,0,2,3,3,2,2,3,5,3,3,1,1,0,1,2,1,0,1,0,1,0,1,1,1
0,1,4,18,2,2,2,5,2,3,5,5,2,3,0,3,0,0,1,0,0,1,0,1,0,1,0,1
16,3,5,22,3,1,3,4,1,3,5,5,1,2,1,5,0,1,1,0,0,1,0,1,0,0,0,1
8,0,5,16,4,4,4,5,4,4,5,3,1,0,1,2,0,0,1,1,1,1,0,0,0,1,1,1
2,0,2,15,0,5,1,3,2,2,1,4,2,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1
75,0,1,18,2,5,3,1,2,3,1,4,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1
4,0,2,15,3,4,2,2,1,2,1,5,3,3,0,1,0,0,3,1,0,0,0,1,1,1,1,1
0,0,2,18,3,3,3,3,3,3,3,4,2,2,1,1,0,1,2,0,0,0,0,1,1,1,1,1
0,0,4,17,4,5,4,4,4,2,3,4,2,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1
20,0,1,19,0,2,2,4,1,2,1,3,2,2,2,1,0,1,3,0,0,0,0,1,1,1,0,1
2,2,4,15,2,5,1,3,1,2,4,3,2,3,1,2,1,1,1,0,0,0,0,0,1,0,1,1
0,0,2,18,4,5,4,2,4,3,2,4,3,2,1,2,0,1,2,0,1,1,1,1,0,1,1,1
0,0,3,15,3,5,4,3,4,0,1,4,3,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1
6,0,4,18,0,3,4,3,4,4,1,4,2,0,1,1,1,0,2,0,0,0,0,1,0,1,1,0
0,1,2,16,3,2,3,1,3,2,1,4,3,3,0,1,1,0,1,1,0,0,0,0,1,1,1,1
4,0,4,17,2,1,1,4,1,2,3,4,2,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0
8,0,1,15,0,2,2,3,2,2,1,4,1,3,1,1,1,0,1,1,1,0,0,0,1,1,1,0
28,1,3,17,0,5,3,4,4,3,4,4,3,1,1,3,0,1,1,0,1,0,0,1,1,1,1,1
5,0,2,18,4,1,4,4,4,4,2,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,1,1
0,0,2,16,2,5,0,3,2,2,4,4,1,2,1,2,0,0,1,0,1,1,0,1,0,0,1,1
4,0,3,17,2,4,3,2,3,2,1,3,3,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
2,0,3,15,0,1,1,2,2,3,2,3,2,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
2,0,1,17,0,3,2,1,1,3,1,2,2,0,1,1,0,0,3,1,0,0,0,0,0,1,1,0
21,0,2,18,3,2,4,1,3,2,3,3,2,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1
6,0,4,15,2,1,3,3,3,2,4,5,1,2,1,4,0,0,1,0,1,0,1,1,0,1,1,1
10,0,3,16,4,3,4,3,2,3,4,4,1,2,1,3,0,1,1,1,0,1,0,0,1,1,1,1
4,0,3,17,2,2,4,2,3,2,1,5,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1
8,0,5,17,3,4,2,4,2,2,5,4,1,0,1,5,0,0,4,0,0,1,0,0,1,1,1,1
11,0,3,18,3,5,3,3,4,2,3,4,2,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
0,0,4,18,2,1,4,4,4,2,1,5,3,3,1,1,0,0,2,0,0,0,1,0,0,1,1,1
10,0,4,15,3,5,3,4,2,2,1,4,2,3,1,1,0,0,1,0,1,0,1,1,1,1,1,1
0,0,4,15,3,1,3,4,4,2,1,5,2,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1
6,0,5,15,2,1,4,3,4,2,5,1,4,1,0,3,0,1,4,1,1,1,0,0,1,1,1,1
4,0,3,15,3,4,2,3,2,3,3,5,2,1,1,1,0,0,2,1,1,1,1,1,0,1,1,1
12,0,3,16,0,3,3,4,4,2,2,2,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
2,0,3,16,3,3,1,3,2,3,2,3,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1
12,0,4,17,3,4,3,3,3,3,3,4,2,2,1,2,0,1,1,1,0,1,0,1,1,1,1,1
0,0,2,15,4,5,4,5,3,0,1,4,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1
0,0,2,16,3,5,4,3,4,3,2,5,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1
0,0,3,18,2,1,3,1,3,2,2,4,2,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1
10,0,2,16,3,5,4,4,3,2,2,5,2,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1
8,0,2,18,3,4,3,4,2,2,1,5,3,3,1,1,0,0,2,1,1,1,1,0,1,1,1,1
0,0,4,18,0,5,1,3,4,2,4,4,2,0,1,1,0,1,3,0,0,0,1,0,0,1,1,0
0,3,5,17,2,5,2,4,1,2,2,5,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1
2,0,5,18,2,5,2,5,2,2,4,4,4,0,1,2,0,0,1,1,0,1,1,1,1,1,1,1
0,0,5,16,4,3,4,4,3,2,1,5,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1
0,0,5,18,4,5,4,4,3,2,3,5,3,0,1,2,0,1,1,0,1,1,0,1,1,1,1,1
10,0,3,19,2,3,3,3,3,2,2,4,4,3,2,1,0,0,1,1,1,0,0,1,1,1,1,1
0,0,2,17,1,3,4,2,3,3,2,4,3,3,1,1,0,0,1,0,1,0,0,1,1,1,1,1
0,1,2,19,3,5,2,4,3,2,2,5,3,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1
0,0,3,18,0,3,2,3,2,3,1,4,3,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
0,1,3,19,2,5,3,5,3,3,2,4,2,3,0,1,0,1,1,1,0,1,0,0,0,1,1,0
4,0,2,15,2,5,2,3,3,2,2,5,3,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
2,0,3,17,0,1,2,3,4,1,1,4,2,3,1,1,0,1,2,0,1,0,0,1,1,1,1,1
0,0,4,16,2,5,2,4,2,2,1,5,2,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1
30,0,4,17,3,5,4,5,1,2,4,4,1,1,1,2,0,1,2,1,1,1,1,1,0,1,1,1
0,0,3,15,4,2,4,3,4,1,2,3,2,3,1,1,0,0,1,0,1,0,0,1,1,1,1,1
4,0,2,15,4,5,4,2,4,1,1,3,2,3,1,1,0,0,1,1,0,1,0,1,1,1,1,0
6,0,5,16,3,5,2,3,2,3,1,5,4,3,1,1,0,0,2,1,1,0,0,0,1,0,1,1
0,0,2,16,2,3,2,3,1,2,3,3,1,0,1,1,0,0,2,1,0,1,0,0,0,0,1,0
0,0,2,16,4,5,4,3,4,4,1,3,1,0,1,2,0,1,1,0,0,1,0,1,1,1,0,1
8,0,2,15,2,3,2,1,2,2,1,5,4,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
12,0,5,16,2,3,3,3,3,3,4,2,2,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1
3,0,5,17,2,5,3,3,3,3,5,4,1,3,1,3,0,0,1,1,0,1,0,1,0,0,1,1
2,0,2,16,2,5,2,2,4,1,2,4,2,0,0,1,0,1,2,1,1,0,1,1,1,1,1,1
4,0,5,15,3,1,4,5,3,2,3,4,1,3,1,1,0,0,1,1,1,0,0,1,0,1,1,1
18,0,4,16,1,5,4,4,4,2,4,3,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1
2,0,2,17,0,1,1,5,2,0,2,3,2,1,1,2,0,1,1,1,1,1,0,0,1,0,1,0
10,0,3,16,3,2,2,3,3,3,1,4,2,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1
4,0,5,17,2,5,2,4,2,2,2,5,2,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1
18,1,3,19,0,3,1,4,1,2,3,4,2,3,2,1,1,0,1,1,0,0,1,1,1,0,1,1
16,1,2,16,3,2,3,5,2,3,1,4,1,0,1,1,0,0,2,1,0,1,0,1,1,0,0,0
2,0,2,16,2,5,3,3,1,2,2,5,1,3,1,2,0,0,1,1,0,1,0,1,0,1,1,0
0,3,5,17,2,5,1,3,1,3,5,5,2,0,1,1,0,1,4,1,0,1,1,0,0,1,0,0
6,0,4,16,1,4,4,4,4,4,3,2,2,2,1,2,0,0,1,1,0,0,0,0,1,1,1,0
10,0,2,18,2,5,4,2,4,4,2,3,2,2,0,4,0,1,3,0,1,0,0,0,1,0,1,1
8,2,3,16,3,2,2,3,2,3,2,2,1,3,0,2,0,0,2,1,0,1,1,1,1,1,1,1
0,1,5,18,3,5,3,4,2,2,4,4,1,0,1,2,0,0,2,0,0,1,0,1,0,1,0,1
2,0,2,15,2,5,1,3,2,0,1,4,2,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
0,1,4,19,3,3,1,2,2,3,2,4,2,1,2,2,0,1,1,1,0,0,1,1,0,0,1,0
2,3,2,19,0,5,0,4,1,2,1,3,2,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0
2,0,3,15,1,5,4,3,4,3,3,4,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
4,0,3,15,2,3,4,3,4,3,5,1,4,3,1,5,0,1,1,1,0,1,0,1,1,0,1,1
2,0,3,17,4,4,4,3,4,2,3,3,2,0,1,2,0,0,2,0,1,1,1,0,1,1,1,1
0,0,2,18,0,4,1,3,1,3,1,5,3,0,0,1,0,0,2,0,0,0,1,1,0,1,1,1
4,0,3,18,4,2,4,4,4,3,4,5,2,0,1,3,0,0,1,1,1,0,1,0,0,1,1,1
0,1,4,16,3,5,1,4,1,2,3,4,2,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0
4,0,4,18,0,3,1,3,3,2,4,3,2,0,1,2,0,0,2,0,1,1,0,0,1,1,1,0
0,0,5,16,2,3,4,3,3,0,1,5,3,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
4,0,2,17,2,2,2,2,3,2,1,5,1,0,0,1,0,0,2,0,0,1,0,1,0,1,1,1
4,0,5,16,1,4,4,4,4,1,1,5,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1
26,0,5,15,3,2,3,3,2,2,1,4,2,1,1,1,1,0,2,0,1,0,0,1,1,1,1,1
5,0,3,18,2,5,2,4,1,2,3,4,1,2,1,1,0,1,2,1,0,1,0,0,0,0,1,1
2,0,3,17,2,3,2,4,3,3,1,4,2,1,0,1,0,0,2,1,0,1,0,1,0,1,1,1
0,0,4,16,2,5,2,4,2,2,4,5,2,3,1,2,0,0,2,1,0,1,1,1,1,1,1,1
0,0,5,16,2,4,2,1,2,2,1,5,2,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1
14,0,2,18,0,3,2,3,1,2,5,4,2,0,1,4,1,1,4,1,1,1,1,1,1,1,1,1
18,0,2,16,2,5,1,4,1,2,1,3,2,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1
14,0,5,17,2,1,1,5,2,2,3,3,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
6,0,4,18,3,2,2,2,1,3,3,4,3,3,1,1,0,0,1,1,1,1,0,1,0,1,1,1
8,0,3,15,4,1,4,4,0,2,1,3,4,0,1,1,0,0,2,1,0,1,0,1,0,1,1,1
2,0,2,15,2,5,2,2,2,2,2,4,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1
0,0,3,16,4,1,4,3,2,3,1,5,2,1,1,1,0,0,2,1,1,0,0,1,1,1,1,1
0,0,1,15,3,5,4,3,4,3,1,4,2,3,1,1,0,0,2,1,0,1,0,1,1,1,1,1
12,1,3,18,3,5,2,4,1,0,1,5,2,3,1,1,0,1,1,0,0,0,1,1,0,1,1,1
4,0,5,16,2,4,2,3,2,2,4,4,2,0,0,2,0,0,1,0,0,1,0,1,0,1,0,1
12,0,1,17,3,3,4,2,4,2,2,5,1,2,1,1,0,0,1,0,1,0,1,0,1,1,1,0
10,0,3,16,4,3,4,4,3,2,3,3,2,1,1,2,0,0,1,1,1,1,0,1,1,1,1,1
2,1,3,18,0,5,1,4,1,2,3,4,2,2,1,2,0,0,2,1,0,1,1,0,0,0,0,0
2,0,4,17,1,3,3,5,3,2,3,4,2,0,1,2,0,0,2,0,1,1,0,1,1,1,1,1
12,0,4,17,2,5,2,4,2,2,3,3,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1
2,0,3,16,3,5,3,3,3,2,1,5,3,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1
